Wavenumber,Intensity
4000,56.483245
3999.875,56.489966
3999.75,56.492188
3999.625,56.487671
3999.5,56.477116
3999.375,56.46931
3999.25,56.474232
3999.125,56.489718
3999,56.503504
3998.875,56.509159
3998.75,56.511577
3998.625,56.515651
3998.5,56.519254
3998.375,56.520104
3998.25,56.520653
3998.125,56.522161
3998,56.52128
3997.875,56.516464
3997.75,56.511933
3997.625,56.511929
3997.5,56.51621
3997.375,56.523138
3997.25,56.531726
3997.125,56.539167
3997,56.542509
3996.875,56.544125
3996.75,56.548767
3996.625,56.553883
3996.5,56.551156
3996.375,56.538836
3996.25,56.519363
3996.125,56.474726
3996,56.35588
3995.875,56.120202
3995.75,55.793623
3995.625,55.487927
3995.5,55.339066
3995.375,55.411693
3995.25,55.655229
3995.125,55.952082
3995,56.204673
3994.875,56.380443
3994.75,56.491289
3994.625,56.555351
3994.5,56.586454
3994.375,56.600011
3994.25,56.608638
3994.125,56.614281
3994,56.615019
3993.875,56.614755
3993.75,56.615295
3993.625,56.60467
3993.5,56.568105
3993.375,56.51132
3993.25,56.46144
3993.125,56.443306
3993,56.462008
3992.875,56.506035
3992.75,56.557709
3992.625,56.600915
3992.5,56.628672
3992.375,56.64537
3992.25,56.657
3992.125,56.662114
3992,56.655586
3991.875,56.629906
3991.75,56.56179
3991.625,56.412836
3991.5,56.171904
3991.375,55.898576
3991.25,55.698212
3991.125,55.642023
3991,55.719448
3990.875,55.870983
3990.75,56.045751
3990.625,56.215565
3990.5,56.355519
3990.375,56.439536
3990.25,56.46023
3990.125,56.441656
3990,56.426177
3989.875,56.447294
3989.75,56.510007
3989.625,56.591709
3989.5,56.663221
3989.375,56.710893
3989.25,56.738519
3989.125,56.75356
3989,56.760063
3988.875,56.763656
3988.75,56.772085
3988.625,56.786439
3988.5,56.799185
3988.375,56.804475
3988.25,56.804411
3988.125,56.803241
3988,56.802057
3987.875,56.801672
3987.75,56.803839
3987.625,56.806811
3987.5,56.805982
3987.375,56.801388
3987.25,56.798408
3987.125,56.798311
3987,56.794119
3986.875,56.778964
3986.75,56.75446
3986.625,56.729662
3986.5,56.716191
3986.375,56.723455
3986.25,56.75026
3986.125,56.778854
3986,56.78467
3985.875,56.756891
3985.75,56.708446
3985.625,56.665629
3985.5,56.650976
3985.375,56.672254
3985.25,56.719152
3985.125,56.770039
3985,56.808074
3984.875,56.832745
3984.75,56.852332
3984.625,56.868234
3984.5,56.873654
3984.375,56.865268
3984.25,56.847712
3984.125,56.826472
3984,56.803029
3983.875,56.775957
3983.75,56.741207
3983.625,56.694406
3983.5,56.639679
3983.375,56.590774
3983.25,56.553118
3983.125,56.510203
3983,56.442458
3982.875,56.360329
3982.75,56.304911
3982.625,56.313176
3982.5,56.389678
3982.375,56.510862
3982.25,56.64387
3982.125,56.758797
