Wavenumber,Intensity
4000,48.142026
3999.875,48.141317
3999.75,48.136113
3999.625,48.133461
3999.5,48.136966
3999.375,48.144935
3999.25,48.151794
3999.125,48.153238
3999,48.151987
3998.875,48.155239
3998.75,48.164318
3998.625,48.171857
3998.5,48.172658
3998.375,48.171432
3998.25,48.174473
3998.125,48.178851
3998,48.17743
3997.875,48.171244
3997.75,48.169014
3997.625,48.17487
3997.5,48.183434
3997.375,48.187755
3997.25,48.187488
3997.125,48.188012
3997,48.194255
3996.875,48.205495
3996.75,48.214695
3996.625,48.214822
3996.5,48.207491
3996.375,48.201906
3996.25,48.200751
3996.125,48.18902
3996,48.142364
3995.875,48.049625
3995.75,47.929151
3995.625,47.824176
3995.5,47.779563
3995.375,47.813938
3995.25,47.907575
3995.125,48.018392
3995,48.111247
3994.875,48.173473
3994.75,48.208615
3994.625,48.225711
3994.5,48.236019
3994.375,48.248594
3994.25,48.262114
3994.125,48.267478
3994,48.263064
3993.875,48.259905
3993.75,48.265239
3993.625,48.269229
3993.5,48.257371
3993.375,48.23156
3993.25,48.209263
3993.125,48.204264
3993,48.216058
3992.875,48.235962
3992.75,48.255973
3992.625,48.271705
3992.5,48.282654
3992.375,48.29028
3992.25,48.294072
3992.125,48.292347
3992,48.287649
3991.875,48.282975
3991.75,48.267925
3991.625,48.219483
3991.5,48.129557
3991.375,48.027335
3991.25,47.960145
3991.125,47.951821
3991,47.987981
3990.875,48.041354
3990.75,48.09833
3990.625,48.156917
3990.5,48.210833
3990.375,48.246947
3990.25,48.25792
3990.125,48.251878
3990,48.247334
3989.875,48.257992
3989.75,48.282379
3989.625,48.30873
3989.5,48.329207
3989.375,48.345365
3989.25,48.35957
3989.125,48.368264
3989,48.368751
3988.875,48.366934
3988.75,48.371067
3988.625,48.380358
3988.5,48.386669
3988.375,48.386251
3988.25,48.383784
3988.125,48.385324
3988,48.39203
3987.875,48.400588
3987.75,48.406075
3987.625,48.405505
3987.5,48.401689
3987.375,48.401612
3987.25,48.407819
3987.125,48.414045
3987,48.413085
3986.875,48.40557
3986.75,48.397036
3986.625,48.390156
3986.5,48.38562
3986.375,48.387025
3986.25,48.397398
3986.125,48.411379
3986,48.417295
3985.875,48.408308
3985.75,48.389158
3985.625,48.37236
3985.5,48.369599
3985.375,48.383858
3985.25,48.40658
3985.125,48.425156
3985,48.435468
3984.875,48.444096
3984.75,48.456151
3984.625,48.466881
3984.5,48.469476
3984.375,48.465421
3984.25,48.460952
3984.125,48.457643
3984,48.45266
3983.875,48.444616
3983.75,48.433276
3983.625,48.417121
3983.5,48.397145
3983.375,48.379281
3983.25,48.366584
3983.125,48.352797
3983,48.330719
3982.875,48.304763
3982.75,48.288757
3982.625,48.293586
3982.5,48.32138
3982.375,48.367401
3982.25,48.420482
3982.125,48.464924
3982,48.490234
3981.875,48.498105
3981.75,48.495603
3981.625,48.485851
3981.5,48.471493
3981.375,48.461765
3981.25,48.466208
3981.125,48.482839
3981,48.500303
3980.875,48.510074
3980.75,48.509921
3980.625,48.499217
3980.5,48.480154
3980.375,48.462305
3980.25,48.457258
3980.125,48.467909
3980,48.488683
3979.875,48.513735
3979.75,48.538096
3979.625,48.554164
3979.5,48.556904
3979.375,48.552224
3979.25,48.55189
3979.125,48.559725
3979,48.569914
3978.875,48.577755
3978.75,48.584198
3978.625,48.589835
3978.5,48.592672
3978.375,48.59308
3978.25,48.59452
3978.125,48.598262
3978,48.602403
3977.875,48.605563
3977.75,48.606686
3977.625,48.602776
3977.5,48.591753
3977.375,48.574106
3977.25,48.54534
3977.125,48.492338
3977,48.408844
3976.875,48.313872
3976.75,48.243616
3976.625,48.223359
3976.5,48.252806
3976.375,48.31577
3976.25,48.391155
3976.125,48.453738
3976,48.480242
3975.875,48.466022
3975.75,48.431612
3975.625,48.406821
3975.5,48.408969
3975.375,48.436618
3975.25,48.477136
3975.125,48.515257
3975,48.537429
3974.875,48.533275
3974.75,48.497877
3974.625,48.438539
3974.5,48.380913
3974.375,48.359867
3974.25,48.393091
3974.125,48.464211
3974,48.538266
3973.875,48.590569
3973.75,48.614739
3973.625,48.609864
3973.5,48.576226
3973.375,48.524573
3973.25,48.474084
3973.125,48.433669
3973,48.394844
3972.875,48.34996
3972.75,48.310973
3972.625,48.302925
3972.5,48.341931
3972.375,48.421797
3972.25,48.517975
3972.125,48.601539
3972,48.655363
3971.875,48.682313
3971.75,48.696967
3971.625,48.709186
3971.5,48.717934
3971.375,48.719665
3971.25,48.716308
3971.125,48.713737
3971,48.716775
3970.875,48.726308
3970.75,48.73753
3970.625,48.742458
3970.5,48.738928
3970.375,48.732381
3970.25,48.718959
3970.125,48.670957
3970,48.558276
3969.875,48.393241
3969.75,48.242901
3969.625,48.181852
3969.5,48.233075
3969.375,48.358274
3969.25,48.498576
3969.125,48.615719
3969,48.698826
3968.875,48.749547
3968.75,48.772249
3968.625,48.775411
3968.5,48.772187
3968.375,48.772737
3968.25,48.776713
3968.125,48.777569
3968,48.774562
3967.875,48.775945
3967.75,48.787556
3967.625,48.803371
3967.5,48.81261
3967.375,48.81348
3967.25,48.813501
3967.125,48.817823
3967,48.823564
3966.875,48.826354
3966.75,48.826703
3966.625,48.828121
3966.5,48.83222
3966.375,48.837018
3966.25,48.838541
3966.125,48.83501
3966,48.830334
3965.875,48.829588
3965.75,48.828381
3965.625,48.813256
3965.5,48.779997
3965.375,48.74672
3965.25,48.738799
3965.125,48.761321
3965,48.794999
3964.875,48.818102
3964.75,48.824049
3964.625,48.817988
3964.5,48.807685
3964.375,48.80146
3964.25,48.806322
3964.125,48.82246
3964,48.843213
3963.875,48.862142
3963.75,48.875964
3963.625,48.882182
3963.5,48.881735
3963.375,48.881882
3963.25,48.882828
3963.125,48.857301
3963,48.758297
3962.875,48.561739
3962.75,48.299372
3962.625,48.043898
3962.5,47.864067
3962.375,47.797633
3962.25,47.853329
3962.125,48.016897
3962,48.248843
3961.875,48.489099
3961.75,48.681838
3961.625,48.803424
3961.5,48.866577
3961.375,48.898525
3961.25,48.916701
3961.125,48.925037
3961,48.926054
3960.875,48.925906
3960.75,48.924202
3960.625,48.90768
3960.5,48.864322
3960.375,48.804148
3960.25,48.757745
3960.125,48.750984
3960,48.783303
3959.875,48.832155
3959.75,48.874863
3959.625,48.904499
3959.5,48.927292
3959.375,48.94684
3959.25,48.952361
3959.125,48.925716
3959,48.863685
3958.875,48.790633
3958.75,48.743847
3958.625,48.744365
3958.5,48.784526
3958.375,48.841139
3958.25,48.894522
3958.125,48.933099
3958,48.945098
3957.875,48.91371
3957.75,48.827157
3957.625,48.698615
3957.5,48.574773
3957.375,48.513663
3957.25,48.54357
3957.125,48.64364
3957,48.766213
3956.875,48.873969
3956.75,48.952415
3956.625,48.999172
3956.5,49.017575
3956.375,49.018318
3956.25,49.01219
3956.125,48.997721
3956,48.96729
3955.875,48.927941
3955.75,48.904006
3955.625,48.912802
3955.5,48.946865
3955.375,48.985833
3955.25,49.017482
3955.125,49.04078
3955,49.056495
3954.875,49.064268
3954.75,49.065527
3954.625,49.062738
3954.5,49.057549
3954.375,49.050722
3954.25,49.035906
3954.125,48.990216
3954,48.8848
3953.875,48.721212
3953.75,48.55341
3953.625,48.458254
3953.5,48.475598
3953.375,48.580919
3953.25,48.713988
3953.125,48.826195
3953,48.902201
3952.875,48.950627
3952.75,48.986613
3952.625,49.020424
3952.5,49.053713
3952.375,49.082017
3952.25,49.100613
3952.125,49.108526
3952,49.108405
3951.875,49.104352
3951.75,49.097335
3951.625,49.079369
3951.5,49.036652
3951.375,48.96624
3951.25,48.881859
3951.125,48.78074
3951,48.599843
3950.875,48.241732
3950.75,47.689941
3950.625,47.102629
3950.5,46.747665
3950.375,46.803428
3950.25,47.221083
3950.125,47.783795
3950,48.288136
3949.875,48.652222
3949.75,48.886128
3949.625,49.020339
3949.5,49.083384
3949.375,49.103096
3949.25,49.078283
3949.125,48.957783
3949,48.694156
3948.875,48.338942
3948.75,48.051836
3948.625,47.971309
3948.5,48.065448
3948.375,48.136295
3948.25,48.003507
3948.125,47.685952
3948,47.394482
3947.875,47.340828
3947.75,47.568777
3947.625,47.959635
3947.5,48.364582
3947.375,48.699953
3947.25,48.942334
3947.125,49.092598
3947,49.168242
3946.875,49.202395
3946.75,49.221369
3946.625,49.229312
3946.5,49.225087
3946.375,49.220214
3946.25,49.226561
3946.125,49.238699
3946,49.243461
3945.875,49.239568
3945.75,49.235088
3945.625,49.231802
3945.5,49.219922
3945.375,49.180082
3945.25,49.087407
3945.125,48.934303
3945,48.763527
3944.875,48.657716
3944.75,48.671937
3944.625,48.781772
3944.5,48.915443
3944.375,49.022129
3944.25,49.091075
3944.125,49.11868
3944,49.082558
3943.875,48.931096
3943.75,48.569314
3943.625,47.887952
3943.5,46.887401
3943.375,45.805491
3943.25,45.05661
3943.125,44.971508
3943,45.558736
3942.875,46.522707
3942.75,47.493928
3942.625,48.242702
3942.5,48.726151
3942.375,49.00569
3942.25,49.157191
3942.125,49.2326
3942,49.264096
3941.875,49.27607
3941.75,49.284677
3941.625,49.291434
3941.5,49.288309
3941.375,49.2734
3941.25,49.256991
3941.125,49.250547
3941,49.256331
3940.875,49.27037
3940.75,49.289141
3940.625,49.30974
3940.5,49.328648
3940.375,49.343087
3940.25,49.349106
3940.125,49.338626
3940,49.306307
3939.875,49.260878
3939.75,49.222325
3939.625,49.205016
3939.5,49.208381
3939.375,49.220967
3939.25,49.22423
3939.125,49.196653
3939,49.13156
3938.875,49.056228
3938.75,49.018075
3938.625,49.043514
3938.5,49.117034
3938.375,49.203473
3938.25,49.278583
3938.125,49.334412
3938,49.37094
3937.875,49.393152
3937.75,49.407851
3937.625,49.415738
3937.5,49.41406
3937.375,49.409206
3937.25,49.413824
3937.125,49.427024
